"estdepartureairport","estarrivalairport","flights"
"76MI","0WI2",1
KORD,"9IL7",17
LSZC,LFLI,1
IA35,KDEN,5
EPWA,EGCN,4
KBFI,KBED,1
EDLW,LYBT,4
KHWD,KEMT,2
KPAO,KMYV,1
KALB,KORL,1
EFTU,EFPO,1
OLBA,OMDB,33
"2AZ7","23AZ",1
KPHX,"33AZ",1
KRYW,"86TA",1
KJFK,SLVR,1
KSDF,KPDX,15
KMIA,KDCA,11
UUEE,RJTT,2
KJFK,OH68,1
KSFO,"4AZ0",1
"71KY",KPDX,4
KHEF,KSUD,1
KGRR,KIAD,6
XS79,TE21,1
KORD,WA62,1
KBWI,KL65,6
OEDF,OMAM,1
KJZP,"4GA0",1
SBGR,KIAD,10
KMYF,KHND,3
KLSV,KLSV,8
KSAC,KMHR,3
"73TA",TX05,1
KLAS,EGLL,12
EDDL,EDLB,1
EPWA,LGAV,8
EETN,EHAM,8
PN62,KOPF,1
KLGA,NK71,2
EGAA,EPLE,1
KDEN,KI67,6
KCDW,"61VA",1
LSZH,LDZA,14
KPHX,"3CA9",7
KAPA,KDAL,6
KGAI,KDOV,1
KPHL,KMQS,4
K5B2,KHPN,1
CYVR,KPSP,3
LEMG,LIPE,1
AZ31,"1AZ0",1
KMMU,EGPT,1
KDEN,NH31,2
KTEB,KDCA,3
KFLL,KBCT,3
KSMF,KHHR,1
KPVD,KHWO,1
RJBB,VMMC,11
KCOS,KIAH,7
SJQT,SNRA,1
KMIC,"2MN9",4
KRDU,"64NC",4
CYVR,KDFW,18
EDDM,LIRF,39
KSAT,KLAX,44
YMPC,YMPC,134
KPHX,KBWI,27
KSDF,"60CO",18
KFLL,KIND,11
KBNA,KPVD,4
KBUF,KAKH,15
"20AZ",KPHX,1
"54TX",K7T7,1
KADS,KSLC,1
KC83,KCCR,16
EDAR,EDOH,1
LPPT,EDDB,8
KDEN,KIAD,51
LIMF,LIEO,3
LDZA,UUEE,7
UKBB,LIME,9
KCCB,KFUL,1
KSDF,KMHR,10
KCLT,KTYS,36
LIPZ,LEBL,30
OMDB,VOMM,47
KPHX,KNYL,9
KLVK,KSQL,6
KPVD,KMDW,10
LIRF,LEBL,49
EGNT,EGGD,15
EBMB,EDDF,13
KRDU,KDTW,12
KIAD,CYUL,22
RCTP,RJFF,47
KLAS,KSAN,120
KCMA,KLPC,1
EGKB,LIMJ,1
KAUS,KSJC,31
EDDF,EGPG,1
EHAM,OTHH,15
LIRF,EDDM,36
VABB,VOMM,123
"08CO",KCOS,1
LGIR,LGAV,54
LSZH,LGAV,33
LTFJ,LTFE,73
KCLT,KAGC,17
EGCC,LIMJ,3
EDDM,EDDC,17
KOLY,KCPS,2
KSNA,KSDL,17
KDEN,KBNA,59
KHOU,KTPA,17
KBOI,KBOI,79
KILG,IL78,1
KABQ,KHGR,1
EDDT,EDDL,110
LIRZ,EGSS,5
KPVD,KPVC,1
KORL,KMSP,19
KMSN,"20GA",1
KMTN,KDMW,7
LSGG,LHTM,2
KFTG,KDTW,4
EIWT,EGTF,1
EGKB,EGKB,5
KCMH,KCLT,8
KIAD,"71MI",6
UWWW,UUWW,15
LHLI,LOAV,1
OMAA,OBBI,29
LFLL,LGIR,8
EDLA,EDDL,1
KTEB,CT52,15
KLGA,"0WI5",6
KLAS,"6AZ8",1
KDCA,KSLC,2
LIPZ,LFPG,75
KC20,KC20,7
KTEB,"8PA3",1
EGSS,LIPZ,19
EHEH,LIDG,1
"38IN",KLOT,1
KDEW,"7WA4",1
LFPB,EBAW,2
LSME,LSME,86
YMEN,YHOT,4
KIAH,KSNA,18
KGIF,"4FL9",3
CYYC,CYWG,34
EDLW,EGSS,7
WIHH,WMSA,3
KVAY,KRWI,1
KBWI,KAFN,12
KOXC,"0WI5",1
KHPN,KMMU,2
CYVR,VIDP,7
CEX9,CEN4,1
LOWW,LOXT,1
EDDM,ELLX,36
"38OI",KVPS,1
"1IN6",II08,1
ENGM,EGPH,3
ID00,KEUL,6
"55AZ",KCGZ,3
VAJJ,LTBA,1
KCRQ,KAJO,5
KSAC,CA88,1
WN61,KCOE,2
EKGO,EKGL,1
KLUD,"18AR",1
"67OH",II81,1
KLAS,"0GE0",22
KBFI,KDAL,5
RJBB,EHAM,7
KDTO,KOAK,1
KIAD,KSTL,20
IS13,"3LL3",1
EGBB,LEMD,9
LTFJ,LIEO,1
KFOE,KCVG,1
KOAK,KONT,7
KROC,KBNA,2
KMSN,KCMY,2
KSMF,KMAE,1
KFOK,KDAL,2
KTPA,KIAH,20
KDFW,IN85,2
WBKK,VTBD,3
KDEN,K06C,25
KBNA,KROC,1
LEMG,EGNT,18
LSZA,LIPS,1
KTTD,WA87,2
KATL,PA76,3
KJWN,KTYS,2
EDDH,EBBR,8
LFBO,EBMB,13
KNUQ,KCMA,4
LOWW,EDDB,7
KDTW,LL61,3
KMDW,KSGF,1
KSMF,KFTG,3
KOXC,KANE,1
